Player,Target,A,Target,Giver,Round,Clue,B,Target,Giver,Round,Clue,C,Target,Giver,Round,Clue,D,Target,Giver,Round,Clue
0,5,0,1,1,C, ,0,0,3,A, ,0,1,6,A, ,0,0,4,C, 
1,13,1,1,2,C, ,0,0,0,C, ,0,1,10,D, ,0,1,2,C, 
2,10,0,0,8,B, ,1,1,13,C, ,0,0,13,C, ,0,1,6,B, 
3,11,1,1,10,A, ,1,1,8,C, ,0,0,9,C, ,0,1,13,B, 
4,7,0,1,10,C, ,0,1,6,B, ,1,1,1,D, ,0,0,3,B, 
5,8,1,0,10,D, ,0,0,5,B, ,1,0,14,D, ,0,1,10,A, 
6,0,0,0,14,A, ,1,0,14,A, ,1,0,12,C, ,0,0,2,A, 
7,12,1,0,12,B, ,1,0,1,B, ,1,1,13,D, ,0,1,1,C, 
8,4,0,0,5,C, ,0,0,11,B, ,0,1,14,A, ,1,0,9,A, 
9,3,1,1,1,B, ,0,1,8,B, ,0,0,14,A, ,1,0,0,B, 
10,1,0,1,9,A, ,1,0,4,C, ,0,0,6,D, ,1,0,12,C, 
11,2,1,0,14,B, ,1,1,9,A, ,0,0,7,C, ,1,0,0,D, 
12,9,0,1,1,D, ,0,0,0,D, ,1,0,3,D, ,1,1,14,D, 
13,14,1,0,7,B, ,0,1,0,D, ,1,1,11,B, ,1,1,9,D, 
14,6,0,0,12,C, ,1,1,1,D, ,1,1,4,D, ,1,0,11,A, 
